FOLIO_PERSONAL,DOCUMENTO,CUIL,APELLIDO,NOMBRE,DOMICILIO,INHIBIENTE,MONTO,CARATULA,JUZGADO,FECHA,ENTRO,ALCANCE,OBSERVACIONES,VIGENCIA
15274/7,65216414,21-27354621-9,GOMEZ,SANTINO,NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - CARDOZO MARIA PAZ","JUZGADO N┬░ 23",2024-08-04,2024-04-03,TOTAL,NULL,NULL
15354/2,28137618,25-68974561-6,ROMERO,ANTONIA,"CALLE CHUBUT 354",NULL,173484,"CONCURSO PREVENTIVO - DOMINGUEZ ISABELLA","JUZGADO N┬░ 10",2025-05-10,2020-06-22,NULL,NULL,CADUCADO
1536/8,16506587,25-17599983-8,NU├æEZ,SARA,NULL,"FISCO DE LA PROVINCIA",806262,"COBRO DE PESOS - RODRIGUEZ FRANCISCO",NULL,2023-02-17,2025-07-04,NULL,NULL,NULL
15405/15,77498897,20-77586946-0,CORREA,IGNACIO,"DIAGONAL 139 A 3483",AFIP,454153,"COBRO DE PESOS - OLIVERA BENJAMIN ALEJANDRO","JUZGADO N┬░ 22",2019-09-24,NULL,TOTAL,NULL,CADUCADO
15407/8,52211818,NULL,GOMEZ,"ALMA VALENTINA","DIAGONAL ALVEAR 1443","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - GONZALEZ ANTONIA",NULL,2015-11-23,NULL,NULL,,ACTIVO
15531/12,24125953,23-82131491-5,RODRIGUEZ,LORENZO,"CAMINO 6 3264",AFIP,457465,NULL,NULL,2021-05-26,2020-11-08,NULL,NULL,CADUCADO
15583/22,23945409,21-42624161-8,MARTIN,JOAQUIN,"CAMINO ROSARIO 3545","FISCO DE LA PROVINCIA",NULL,NULL,NULL,2022-10-08,NULL,NULL,NULL,NULL
15602/9,87145467,21-78612193-6,RODRIGUEZ,JUANA,"BLV. TUCUM├üN 1583",AFIP,NULL,"COBRO DE PESOS - AGUIRRE NICOLAS",NULL,2018-07-29,NULL,NULL,NULL,NULL
15649/3,96476024,27-38771156-9,AGUIRRE,SIMON,"BOULEVARD MERLO 1418","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - GOMEZ BENJAMIN",NULL,2024-04-01,NULL,TOTAL,NULL,CADUCADO
15654/6,78966728,23-86565243-2,CRUZ,BAUTISTA,"CALLE CHILECITO 4497","FISCO DE LA PROVINCIA",958301,"CONCURSO PREVENTIVO - FIGUEROA JUANA","JUZGADO N┬░ 22",2021-09-21,2021-11-23,NULL,NULL,ACTIVO
15700/7,13850082,24-25591712-7,TORRES,###,"CAMINO 5 1802",NULL,319908,"COBRO DE PESOS - PAEZ DANTE","JUZGADO N┬░ 13",2024-06-24,2023-03-24,NULL,NULL,NULL
15708/14,96349714,26-79687112-0,DOMINGUEZ,VICTORIA,"DIAGONAL J.B. ALBERDI 4918","FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - VAZQUEZ JUAN MANUEL",NULL,2018-04-13,NULL,NULL,NULL,NULL
15789/7,71971108,26-48063502-5,RAMOS,GENARO,"CALLE MENDOZA 1160","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",360899,NULL,NULL,2024-10-22,NULL,NULL,NULL,NULL
15848/19,70019752,22-38543303-9,AGUIRRE,CLARA,"AV. MISIONES 122",NULL,697012,"CONCURSO PREVENTIVO - VAZQUEZ LUDMILA","JUZGADO N┬░ 6",2018-03-25,NULL,NULL,NULL,NULL
15975/10,92287784,23-91923164-8,FERREYRA,CATALINA,"DIAGONAL J.M. DE ROSAS 3917","BANCO NACI├ôN",NULL,"COBRO DE PESOS - SILVA THIAGO LIONEL",NULL,2021-09-24,NULL,NULL,NULL,NULL
15988/19,51269432,21-36446024-6,FIGUEROA,GENARO,"AV. G. BROWN 369","BANCO NACI├ôN",NULL,"COBRO DE PESOS - FERNANDEZ LOLA","JUZGADO N┬░ 24",2023-04-05,2021-09-08,PARCIAL,NULL,NULL
16034/4,70269925,25-15928480-1,NAVARRO,KIARA,"AV. CORRIENTES 2055","FISCO DE LA PROVINCIA",299538,"CONCURSO PREVENTIVO - SOSA PAULA",NULL,2017-07-23,NULL,PARCIAL,"EN REVISI├ôN",ACTIVO
16135/24,49767851,25-70254306-1,NAVARRO,NICOLAS,"AVENIDA BUENOS AIRES 3227",AFIP,335487,"EJECUCI├ôN FISCAL - GONZALEZ BIANCA","JUZGADO N┬░ 29",2021-11-06,NULL,PARCIAL,NULL,NULL
16193/7,NULL,20-17236121-4,FERNANDEZ,OLIVIA,"AV. 9 1237",AFIP,NULL,"COBRO DE PESOS - ALVAREZ SANTINO","JUZGADO N┬░ 20",NULL,2024-06-24,NULL,NULL,NULL
16198/11,59232318,25-62924549-9,MORENO,"MARIA EMILIA","CALLE BUENOS AIRES 757","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - VILLALBA JOAQU├ìN",NULL,2017-09-15,2025-04-27,NULL,NULL,NULL
16224/21,41737681,25-71231054-7,MARTINEZ,BENJAMIN,"DIAGONAL 5 4033","FISCO DE LA PROVINCIA",985526,NULL,"JUZGADO N┬░ 22",2017-01-04,NULL,NULL,NULL,ACTIVO
1623/4,43960000,20-22415578-9,DIAZ,JUANA,"DIAG. POSADAS 3400",AFIP,954283,"CONCURSO PREVENTIVO - FERREYRA JOSEFINA",NULL,2016-07-15,NULL,PARCIAL,NULL,NULL
16264/21,NULL,24-60329081-8,GIMENEZ,DELFINA,"AVENIDA SAN LUIS 256","FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - RAMIREZ JUAN DAVID",NULL,2023-07-10,NULL,NULL,NULL,NULL
16318/2,22265045,NULL,ROMERO,VICTORIA,"AVENIDA SANTA FE 2676","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - AYALA AGUSTINA","JUZGADO N┬░ 3",2015-08-23,2023-08-07,NULL,NULL,ACTIVO
16436/19,10654229,26-81645944-1,GONZALEZ,AGUSTINA,"DIAGONAL 6 2425","BANCO NACI├ôN",286389,"EJECUCI├ôN FISCAL - SILVA MIA VALENTINA",NULL,2017-05-31,2022-09-07,NULL,NULL,NULL
16469/1,19032027,21-87402041-3,GONZALEZ,LAUTARO,"BLV. 130 A 4259","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",602833,"CONCURSO PREVENTIVO - GOMEZ CLARA","JUZGADO N┬░ 27",2018-09-06,NULL,PARCIAL,NULL,NULL
16480/22,91400635,24-59019071-5,RUIZ,HELENA,"AV. RIVADAVIA 4085","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - MOYANO MANUEL",NULL,2015-12-12,NULL,PARCIAL,NULL,ACTIVO
16481/19,NULL,25-70165609-2,PONCE,JOAQUIN,"AV. SAN LUIS 477",AFIP,618893,"COBRO DE PESOS - PERALTA VALENTINO",NULL,2020-01-30,NULL,NULL,NULL,CADUCADO
16529/7,11555829,21-37473320-3,PAEZ,FLORENCIA,"CAMINO PTE. PER├ôN 795","BANCO NACI├ôN",141621,"EJECUCI├ôN FISCAL - MARTIN GUILLERMINA","JUZGADO N┬░ 8",2018-04-19,NULL,TOTAL,"EN REVISI├ôN",NULL
16580/18,12629928,22-29951278-7,GARCIA,CATALINA,"DIAGONAL SAN MIGUEL DE TUCUM├üN 2785",AFIP,NULL,"EJECUCI├ôN FISCAL - DIAZ LUISANA","JUZGADO N┬░ 11",2017-11-21,2024-09-28,PARCIAL,NULL,NULL
16619/19,23374931,20-31849375-0,DOMINGUEZ,MARTIN,"AV. CIUDAD AUT├ôNOMA DE BUENOS AIRES 2210","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - FERNANDEZ OLIVIA","JUZGADO N┬░ 11",2021-02-19,NULL,NULL,NULL,NULL
16888/13,49891333,20-13422271-0,AGUIRRE,NULL,"BOULEVARD SAAVEDRA 124",AFIP,329760,"CONCURSO PREVENTIVO - CARDOZO BIANCA","JUZGADO N┬░ 6",2017-01-10,2022-08-26,PARCIAL,"EN REVISI├ôN",NULL
16894/12,33038924,22-62909254-2,CARRIZO,DELFINA,"DIAGONAL ALEM 3671",AFIP,NULL,"EJECUCI├ôN FISCAL - GOMEZ SOF├ìA",NULL,2019-08-15,NULL,NULL,,ACTIVO
1695/17,78882331,27-90714797-8,DIAZ,GUADALUPE,"AV. SAN LUIS 2065",NULL,291388,"CONCURSO PREVENTIVO - GODOY BENICIO","JUZGADO N┬░ 11",2016-01-18,NULL,PARCIAL,NULL,NULL
16994/9,62872030,22-58899886-7,DIAZ,FELIPE,"CALLE SAN MIGUEL DE TUCUM├üN 258",AFIP,784895,"EJECUCI├ôN FISCAL - SUAREZ SANTIAGO",NULL,2016-01-30,NULL,PARCIAL,NULL,NULL
17014/24,53993221,22-61242192-1,DIAZ,PILAR,NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",868844,"CONCURSO PREVENTIVO - GUTIERREZ FELIPE","JUZGADO N┬░ 1",2024-01-02,2021-07-12,PARCIAL,NULL,NULL
17046/9,20056907,22-98181814-7,LOPEZ,LUANA,NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"EJECUCI├ôN FISCAL - RAMIREZ MATEO AGUSTIN","JUZGADO N┬░ 14",2022-06-29,2025-05-18,TOTAL,NULL,ACTIVO
17086/25,43048430,25-83466971-6,DIAZ,JOSEFINA,"DIAG. SAN MARTIN 760","FISCO DE LA PROVINCIA",458585,"COBRO DE PESOS - SANCHEZ MARTINA",NULL,2018-12-19,NULL,PARCIAL,NULL,NULL
17107/24,59679430,27-17700126-6,DOMINGUEZ,JULIETA,"DIAGONAL 1 625","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",666313,"CONCURSO PREVENTIVO - CACERES FRANCO","JUZGADO N┬░ 26",2023-10-16,2021-02-07,NULL,NULL,ACTIVO
17119/19,51141409,25-33243828-9,###,"MATEO AGUSTIN","BLV. ENTRE R├ìOS 3762","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - RUIZ VALENTINO",NULL,NULL,NULL,NULL,NULL,NULL
17130/9,NULL,20-24640304-7,RAMIREZ,LUCIO,"DIAG. 5 2899","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",22315,"EJECUCI├ôN FISCAL - MEDINA JUAN MANUEL",NULL,2019-02-09,NULL,NULL,NULL,CADUCADO
17142/4,30432000,NULL,JUAREZ,VALENTIN,"CALLE 4 2622","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - NU├æEZ FELIPE","JUZGADO N┬░ 9",2021-12-18,NULL,NULL,NULL,CADUCADO
17296/15,NULL,22-65475222-4,SOSA,"SANTINO AGUSTIN",NULL,NULL,NULL,"EJECUCI├ôN FISCAL - MOLINA FELIPE","JUZGADO N┬░ 20",2019-03-26,NULL,NULL,NULL,ACTIVO
1733/19,56214193,27-15574541-0,RODRIGUEZ,VICTORIA,"AVENIDA CONSTITUCI├ôN 59","FISCO DE LA PROVINCIA",875895,NULL,NULL,2015-12-27,2024-02-18,TOTAL,NULL,NULL
17435/4,82919393,21-80346597-8,ALVAREZ,EMMA,"DIAGONAL 2 3913","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",259946,"EJECUCI├ôN FISCAL - GONZALEZ CATALINA",NULL,2020-01-13,NULL,NULL,"EN REVISI├ôN",NULL
17456/3,87146135,NULL,LOPEZ,FRANCESCO,"DIAGONAL 102 B 3196",NULL,NULL,"EJECUCI├ôN FISCAL - BENITEZ SANTIAGO","JUZGADO N┬░ 21",2017-12-02,NULL,NULL,"SIN OBSERVACIONES",CADUCADO
17494/25,86466409,20-40262498-9,GOMEZ,???,"AV. SAN SALVADOR DE JUJUY 3414","FISCO DE LA PROVINCIA",132788,"CONCURSO PREVENTIVO - PEREZ MIA","JUZGADO N┬░ 26",2024-06-06,2025-06-27,TOTAL,,CADUCADO
17495/3,95562290,23-73936294-0,GUZMAN,"THIAGO AGUSTIN","DIAGONAL OMAR NU├æEZ 4265",AFIP,902650,"EJECUCI├ôN FISCAL - ROMERO JUAN CRUZ","JUZGADO N┬░ 26",2021-11-27,NULL,NULL,NULL,CADUCADO
17504/18,50755665,22-25166138-6,GOMEZ,"THIAGO DANIEL","DIAG. SANTA FE 3368","BANCO NACI├ôN",NULL,"EJECUCI├ôN FISCAL - SILVA SANTINO",NULL,2023-10-05,NULL,NULL,NULL,NULL
17599/23,48495030,26-55881219-7,ORTIZ,"LUZ MILAGROS","DIAG. LA RIOJA 4288","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",688193,"COBRO DE PESOS - CARDOZO CATALINA","JUZGADO N┬░ 28",2024-09-12,NULL,PARCIAL,NULL,CADUCADO
17606/18,14318762,20-22978021-8,AVILA,"SANTIAGO NICOLAS","AVENIDA OMAR NU├æEZ 4902","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",767750,"EJECUCI├ôN FISCAL - MALDONADO SARA","JUZGADO N┬░ 4",2015-12-13,NULL,NULL,NULL,NULL
17673/14,###,23-61727146-3,VEGA,"JUAN IGNACIO","CALLE ALVEAR 772","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"EJECUCI├ôN FISCAL - NAVARRO MATEO",NULL,2024-11-04,NULL,NULL,NULL,NULL
17701/19,98294557,24-22170170-5,CORDOBA,VALENTINA,"DIAGONAL 8 1089",AFIP,555404,"CONCURSO PREVENTIVO - RODRIGUEZ DELFINA","JUZGADO N┬░ 25",2019-06-16,NULL,NULL,NULL,NULL
17759/8,10413703,27-17311591-0,PERALTA,AGUSTIN,???,AFIP,NULL,"EJECUCI├ôN FISCAL - LUNA ALMA","JUZGADO N┬░ 16",2020-09-01,NULL,TOTAL,,NULL
17799/11,84064366,24-17288035-7,CRUZ,SANTIAGO,"AVENIDA SALTA 4101","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - BRAVO EMMA","JUZGADO N┬░ 26",2023-03-04,NULL,NULL,"SIN OBSERVACIONES",NULL
17808/12,38399270,NULL,CASTRO,"BAUTISTA BENJAMIN",NULL,"ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",313731,"EJECUCI├ôN FISCAL - GOMEZ BAUTISTA","JUZGADO N┬░ 24",2023-10-25,NULL,TOTAL,NULL,NULL
17822/2,29218314,26-63111747-9,GOMEZ,EMILIA,"AV. FORMOSA 3147","FISCO DE LA PROVINCIA",NULL,"COBRO DE PESOS - GUZMAN GUILLERMINA","JUZGADO N┬░ 25",2016-07-29,NULL,NULL,NULL,NULL
17885/18,88605091,24-17720624-5,HERRERA,FELIPE,"BOULEVARD 9 856","BANCO NACI├ôN",484927,"CONCURSO PREVENTIVO - VAZQUEZ FELIPE","JUZGADO N┬░ 11",2022-01-18,2024-12-28,TOTAL,NULL,CADUCADO
17949/3,22332045,25-61627152-2,CARRIZO,BAUTISTA,"DIAGONAL SANTIAGO DEL ESTERO 1694","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,NULL,"JUZGADO N┬░ 29",2021-06-30,NULL,NULL,NULL,NULL
17968/19,54755934,23-31001139-0,PEREYRA,JOSEFINA,"BLV. SAN MIGUEL DE TUCUM├üN 3590","BANCO NACI├ôN",390592,"CONCURSO PREVENTIVO - LOPEZ ROSARIO","JUZGADO N┬░ 11",2017-06-04,NULL,NULL,NULL,CADUCADO
17989/18,47630705,22-62765133-3,BENITEZ,MATEO,"AV. JUJUY 3779","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"COBRO DE PESOS - PEREZ MATEO","JUZGADO N┬░ 6",2020-11-29,2024-08-07,NULL,NULL,NULL
18003/23,29761058,24-49468217-4,GOMEZ,TOBIAS,"AVENIDA MENDOZA 324","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - DIAZ CANDELARIA",NULL,2016-03-19,2021-06-29,NULL,NULL,CADUCADO
18029/15,58149407,25-13499067-1,LEDESMA,"   ","AVENIDA 3 2998","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",775752,"EJECUCI├ôN FISCAL - LEIVA CONSTANTINO",NULL,2023-01-27,NULL,PARCIAL,NULL,NULL
1804/12,65818976,24-95877606-7,TORRES,AGUSTINA,"AV. 5 4787","FISCO DE LA PROVINCIA",866025,"EJECUCI├ôN FISCAL - HERRERA ALFONSINA",NULL,2020-04-19,NULL,NULL,NULL,NULL
18041/3,16868772,20-36651565-9,Principal.,EMILIA,"AV. MALVINAS ARGENTINAS 2250",AFIP,345494,"CONCURSO PREVENTIVO - MENDEZ VIOLETA",NULL,2023-05-21,NULL,PARCIAL,NULL,NULL
18178/6,15192315,22-37326159-5,CAMPOS,"LUZ MILAGROS","AVENIDA SALTA 1648","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - SORIA MARTINA","JUZGADO N┬░ 10",2024-04-20,NULL,NULL,NULL,NULL
18219/14,64767897,22-87401405-4,NAVARRO,MANUEL,"DIAGONAL CHACO 2843",NULL,242236,"EJECUCI├ôN FISCAL - GOMEZ TIZIANO","JUZGADO N┬░ 24",2023-10-18,NULL,NULL,NULL,ACTIVO
18233/14,28495637,23-18854449-5,VARGAS,SANTINO,"AVENIDA CHUBUT 1422","BANCO NACI├ôN",478770,"COBRO DE PESOS - LOPEZ SOFIA BELEN",NULL,2025-01-29,NULL,NULL,NULL,ACTIVO
18254/4,###,27-34160607-2,MAIDANA,"JUAN CRUZ","BLV. SAAVEDRA 737","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",820158,"CONCURSO PREVENTIVO - MANSILLA DANTE",NULL,2016-04-17,2021-09-16,TOTAL,"SIN OBSERVACIONES",ACTIVO
18334/2,20214959,22-25870732-8,RIOS,LUCIA,"AV. 3 3979",NULL,134427,"EJECUCI├ôN FISCAL - GONZALEZ TOM├ÇS","JUZGADO N┬░ 1",2017-08-30,NULL,NULL,NULL,CADUCADO
18362/1,56480424,24-85131558-9,PERALTA,BENJAMIN,"AV. MITRE 3734",NULL,NULL,"CONCURSO PREVENTIVO - RODRIGUEZ MIA",NULL,NULL,NULL,NULL,,ACTIVO
18379/14,49756236,24-85726910-7,RAMIREZ,CATALINA,"DIAG. SANTIAGO DEL ESTERO 801",AFIP,NULL,NULL,"JUZGADO N┬░ 27",2018-05-21,2023-09-09,NULL,NULL,NULL
18394/15,39053910,21-71663247-3,RODRIGUEZ,"MARIA VICTORIA","AVENIDA CHACO 658","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",795255,"CONCURSO PREVENTIVO - GARCIA MARIA EMILIA","JUZGADO N┬░ 2",2018-10-16,2024-08-26,NULL,NULL,CADUCADO
18416/14,88401488,26-17661786-7,Escuela.,BAUTISTA,NULL,NULL,632825,"CONCURSO PREVENTIVO - ROMERO LORENZO","JUZGADO N┬░ 14",2015-11-27,NULL,TOTAL,NULL,CADUCADO
18443/13,42158085,"   ",CABRERA,M├üXIMO,"BOULEVARD NEUQU├ëN 4028",NULL,NULL,"EJECUCI├ôN FISCAL - RODRIGUEZ VALENTIN","JUZGADO N┬░ 3",2024-09-25,NULL,PARCIAL,"EN REVISI├ôN",NULL
18537/14,NULL,25-16117223-7,AYALA,NINA,"BOULEVARD MALVINAS ARGENTINAS 2299","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - DOMINGUEZ MARIA GUADALUPE",NULL,2019-04-16,2022-09-14,TOTAL,NULL,ACTIVO
18540/18,57088496,21-35922505-9,GOMEZ,JEREMIAS,"AVENIDA ALEM 30","FISCO DE LA PROVINCIA",383320,"CONCURSO PREVENTIVO - MOYANO LAUTARO EZEQUIEL","JUZGADO N┬░ 23",2018-12-18,2023-03-22,NULL,,ACTIVO
18573/12,52905921,26-93942769-6,MOYANO,SANTINO,"DIAGONAL SAAVEDRA 439",AFIP,NULL,NULL,"JUZGADO N┬░ 20",2016-02-28,NULL,NULL,NULL,CADUCADO
18586/23,76187525,23-47171279-4,AGUERO,ALMA,"BLV. BELGRANO 4901","BANCO NACI├ôN",NULL,"COBRO DE PESOS - JUAREZ FACUNDO","JUZGADO N┬░ 9",2024-12-17,NULL,NULL,NULL,NULL
18593/4,69452525,25-87725615-7,BRAVO,OLIVIA,"AV. 1 367",AFIP,481408,"CONCURSO PREVENTIVO - VILLALBA ABIGAIL","JUZGADO N┬░ 30",2022-08-08,NULL,NULL,NULL,NULL
18629/20,88110269,27-21047955-5,"   ",THIAGO,"CALLE 3 1249","FISCO DE LA PROVINCIA",395258,"COBRO DE PESOS - VEGA THIAGO BENJAMIN","JUZGADO N┬░ 19",2020-11-01,NULL,NULL,,ACTIVO
18639/10,49087494,26-75277474-3,TOLEDO,"DYLAN EZEQUIEL","CALLE OMAR NU├æEZ 325",NULL,634299,"CONCURSO PREVENTIVO - MORENO MAXIMO","JUZGADO N┬░ 30",2022-07-02,NULL,NULL,NULL,CADUCADO
18664/6,29239428,20-29967545-4,OJEDA,"MIA MORENA","   ",AFIP,NULL,"COBRO DE PESOS - PEREZ THIAGO BENJAMIN",NULL,2015-11-24,NULL,NULL,NULL,NULL
18686/4,77243204,20-39442317-8,AGUERO,"MIA JAZMIN",NULL,"FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - ROLDAN CATALINA",NULL,2024-01-14,NULL,TOTAL,NULL,CADUCADO
18704/24,56060074,23-23250104-1,CARRIZO,VALENTINO,"AV. 8 1137","FISCO DE LA PROVINCIA",NULL,"EJECUCI├ôN FISCAL - LEIVA MIA MORENA","JUZGADO N┬░ 20",2023-09-04,NULL,NULL,NULL,NULL
18718/4,NULL,20-10202634-2,TORRES,LOLA,NULL,"BANCO NACI├ôN",NULL,"COBRO DE PESOS - MOYANO JOSEFINA",NULL,2016-07-14,NULL,NULL,NULL,ACTIVO
18786/5,92571613,24-24178071-8,PEREZ,BRUNO,"AVENIDA FORMOSA 74","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - GIMENEZ JUAN MANUEL",NULL,2016-04-21,NULL,NULL,"EN REVISI├ôN",NULL
18820/5,0000,24-33752474-5,CABRERA,AGOSTINA,"DIAGONAL 6 1547",NULL,967732,"COBRO DE PESOS - GONZALEZ SOFIA BELEN","JUZGADO N┬░ 27",2024-11-29,NULL,NULL,NULL,ACTIVO
18828/13,23600035,26-73644642-0,RAMOS,PALOMA,"BOULEVARD 4 956",AFIP,568872,NULL,"JUZGADO N┬░ 27",2020-09-08,NULL,NULL,NULL,ACTIVO
18873/5,16959188,21-51985760-7,GARCIA,SOFIA,"AV. BAH├ìA BLANCA 1704","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",NULL,"CONCURSO PREVENTIVO - FLORES JUAN PABLO",NULL,NULL,NULL,PARCIAL,NULL,ACTIVO
18917/16,56298271,23-34997219-5,"   ",BIANCA,"DIAGONAL 3 3724","FISCO DE LA PROVINCIA",437799,"CONCURSO PREVENTIVO - VAZQUEZ RENATA","JUZGADO N┬░ 24",2018-09-17,NULL,NULL,NULL,NULL
18925/4,NULL,21-54706457-5,CASTILLO,BIANCA,"DIAGONAL BELGRANO 3702","ADMINISTRACI├ôN FEDERAL DE INGRESOS P├ÜBLICOS",766325,"CONCURSO PREVENTIVO - TORRES LUISANA","JUZGADO N┬░ 9",2018-05-01,2024-04-26,NULL,NULL,ACTIVO
18929/19,94695484,NULL,ARIAS,"SOFIA BELEN","DIAGONAL MAR DEL PLATA 1398",AFIP,482851,"COBRO DE PESOS - HERNANDEZ ISABEL","JUZGADO N┬░ 23",2016-07-27,NULL,TOTAL,NULL,NULL
18962/1,63025972,23-49750253-7,BRAVO,LORENZO,"DIAGONAL RESISTENCIA 1086","BANCO NACI├ôN",NULL,"COBRO DE PESOS - MU├æOZ ISABELLA",NULL,2025-04-21,2021-12-08,NULL,NULL,NULL
19166/6,77116839,26-59594259-5,MARTINEZ,ELENA,"CALLE ALVEAR 3029",NULL,958185,"CONCURSO PREVENTIVO - RUIZ BENJAMIN",NULL,2020-06-30,NULL,NULL,NULL,ACTIVO
19231/12,26834448,21-92108812-3,MU├æOZ,???,"DIAG. PTE. PER├ôN 802","FISCO DE LA PROVINCIA",970390,"CONCURSO PREVENTIVO - OJEDA FRANCESCA","JUZGADO N┬░ 18",2019-02-25,2024-01-20,NULL,NULL,NULL
19234/10,24202299,NULL,CAMPOS,BRUNO,"BOULEVARD ALVEAR 2659",AFIP,687239,"CONCURSO PREVENTIVO - RODRIGUEZ SIMON",NULL,2019-01-29,NULL,NULL,NULL,NULL
19236/21,53968810,24-16945120-8,PEREZ,"THIAGO BENJAMIN","DIAGONAL LA RIOJA 1751",AFIP,614190,"CONCURSO PREVENTIVO - PEREZ IGNACIO","JUZGADO N┬░ 16",2023-02-05,NULL,NULL,NULL,ACTIVO
19321/5,29700722,23-19143774-8,VILLALBA,BENJAMIN,"AVENIDA SALTA 3151",NULL,619224,NULL,"JUZGADO N┬░ 6",2023-11-21,2024-07-01,TOTAL,,NULL
19324/21,53946476,20-82967717-5,ALVAREZ,JEREMIAS,###,"FISCO DE LA PROVINCIA",NULL,"CONCURSO PREVENTIVO - OLIVERA SANTIAGO NICOLAS","JUZGADO N┬░ 17",2020-02-24,2025-02-17,NULL,NULL,NULL
19331/6,44423030,21-57433841-0,LEDESMA,JULIA,"AV. NEUQU├ëN 4734","BANCO NACI├ôN",446423,"EJECUCI├ôN FISCAL - ACOSTA MIA JAZMIN","JUZGADO N┬░ 7",2017-12-09,NULL,NULL,NULL,ACTIVO
19395/7,23313900,27-28642298-0,RUIZ,JUAN,Visto.,AFIP,701667,"COBRO DE PESOS - FLORES MORA","JUZGADO N┬░ 12",2019-12-03,2023-12-22,PARCIAL,NULL,NULL
19452/2,75199268,25-26602703-9,AGUERO,ANTONIO,NULL,NULL,750346,"COBRO DE PESOS - BENITEZ CIRO","JUZGADO N┬░ 19",2022-12-31,NULL,TOTAL,NULL,NULL
19476/5,36747207,26-16616006-4,LOPEZ,CAMILA,"DIAGONAL 8 4731",AFIP,NULL,"EJECUCI├ôN FISCAL - CARRIZO SOF├ìA","JUZGADO N┬░ 4",2023-10-14,NULL,NULL,NULL,ACTIVO
19484/15,42934791,25-67666251-9,CORREA,"JUAN IGNACIO",NULL,"FISCO DE LA PROVINCIA",130332,"EJECUCI├ôN FISCAL - GIMENEZ MAIA",NULL,2022-07-11,2025-01-06,PARCIAL,NULL,NULL
19492/1,"   ",22-62718398-8,RODRIGUEZ,SOL,"AVENIDA 1 3716","BANCO NACI├ôN",NULL,"CONCURSO PREVENTIVO - VEGA LISANDRO",NULL,2019-07-30,NULL,NULL,NULL,NULL
19511/16,22892737,25-52554187-0,NU├æEZ,MARTINA,"BLV. 6 1704","BANCO NACI├ôN",769154,"EJECUCI├ôN FISCAL - FRANCO MICAELA","JUZGADO N┬░ 28",2024-01-16,2022-05-29,NULL,"SIN OBSERVACIONES",CADUCADO
19552/1,94984025,22-70920214-6,CACERES,"THIAGO BENJAMIN","CALLE SAN JUAN 4848","BANCO NACI├ôN",113933,"EJECUCI├ôN FISCAL - RODRIGUEZ PALOMA","JUZGADO N┬░ 17",2024-06-22,NULL,NULL,NULL,NULL
